Longitude,Latitude,Walkscore
-119.889848,34.406985,1
-119.889848,34.40731294,1
-119.889848,34.40764088,1
-119.889848,34.40796883,2
-119.889848,34.40829677,2
-119.889848,34.40862471,2
-119.889848,34.40895265,2
-119.889848,34.40928059,2
-119.889848,34.40960854,2
-119.889848,34.40993648,2
-119.889848,34.41026442,2
-119.889848,34.41059236,2
-119.889848,34.4109203,2
-119.889848,34.41124825,2
-119.889848,34.41157619,2
-119.889848,34.41190413,2
-119.889848,34.41223207,2
-119.889848,34.41256001,2
-119.889848,34.41288796,2
-119.889848,34.4132159,2
-119.889848,34.41354384,2
-119.889848,34.41387178,3
-119.889848,34.41419972,3
-119.889848,34.41452767,3
-119.889848,34.41485561,3
-119.889848,34.41518355,3
-119.889848,34.41551149,3
-119.889848,34.41583943,3
-119.889848,34.41616738,3
-119.889848,34.41649532,3
-119.889848,34.41682326,8
-119.889848,34.4171512,8
-119.889848,34.41747914,8
-119.889848,34.41780709,8
-119.889848,34.41813503,8
-119.889848,34.41846297,12
-119.889848,34.41879091,12
-119.889848,34.41911886,12
-119.889848,34.4194468,12
-119.889848,34.41977474,14
-119.889848,34.42010268,14
-119.889848,34.42043062,14
-119.889848,34.42075857,14
-119.889848,34.42108651,14
-119.889848,34.42141445,19
-119.889848,34.42174239,19
-119.889848,34.42207033,19
-119.889848,34.42239828,19
-119.889848,34.42272622,19
-119.889848,34.42305416,24
-119.889848,34.4233821,24
-119.889848,34.42371004,24
-119.889848,34.42403799,24
-119.889848,34.42436593,25
-119.889848,34.42469387,25
-119.889848,34.42502181,25
-119.889848,34.42534975,25
-119.889848,34.4256777,25
-119.889848,34.42600564,30
-119.889848,34.42633358,30
-119.889848,34.42666152,30
-119.889848,34.42698946,30
-119.889848,34.42731741,29
-119.889848,34.42764535,29
-119.889848,34.42797329,29
-119.889848,34.42830123,29
-119.889848,34.42862917,29
-119.889848,34.42895712,38
-119.889848,34.42928506,38
-119.889848,34.429613,38
-119.889011,34.406985,2
-119.889011,34.40731294,2
-119.889011,34.40764088,2
-119.889011,34.40796883,2
-119.889011,34.40829677,2
-119.889011,34.40862471,2
-119.889011,34.40895265,2
-119.889011,34.40928059,2
-119.889011,34.40960854,2
-119.889011,34.40993648,2
